weather,wind,humidity,visibility,presure,time_now
24.0,13.0,44.0,10000.0,1009.0,07/06/2020 02:23:59
24.0,13.0,44.0,10000.0,1009.0,07/06/2020 02:24:06
24.0,13.0,44.0,10000.0,1009.0,07/06/2020 02:24:12
24.0,13.0,44.0,10000.0,1009.0,07/06/2020 02:24:18
24.0,13.0,44.0,10000.0,1009.0,07/06/2020 02:24:23
24.0,13.0,44.0,10000.0,1009.0,07/06/2020 02:24:29
24.0,13.0,44.0,10000.0,1009.0,07/06/2020 02:24:35
24.0,13.0,44.0,10000.0,1009.0,07/06/2020 02:24:40
24.0,13.0,44.0,10000.0,1009.0,07/06/2020 02:24:46
24.0,13.0,44.0,10000.0,1009.0,07/06/2020 02:24:52
