id,title,price,rate,category_id
1,Sharp Objects,47.82,4,1
2,"In a Dark, Dark Wood",19.63,1,1
3,The Past Never Ends,56.5,4,1
4,A Murder in Time,16.64,1,1
5,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,1
6,The Last Mile (Amos Decker #2),54.21,2,1
7,That Darkness (Gardiner and Renner #1),13.92,1,1
8,Tastes Like Fear (DI Marnie Rome #3),10.69,1,1
9,A Time of Torment (Charlie Parker #14),48.35,5,1
10,A Study in Scarlet (Sherlock Holmes #1),16.73,2,1
11,Poisonous (Max Revere Novels #3),26.8,3,1
12,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,1
13,Most Wanted,35.28,3,1
14,Hide Away (Eve Duncan #20),11.84,1,1
15,Boar Island (Anna Pigeon #19),59.48,3,1
16,The Widow,27.26,2,1
17,Playing with Fire,13.71,3,1
18,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,1
19,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,1
20,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,1
21,Tipping the Velvet,53.74,1,2
22,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,2
23,A Flight of Arrows (The Pathfinders #2),55.53,5,2
24,The House by the Lake,36.95,1,2
25,Mrs. Houdini,30.25,5,2
26,The Marriage of Opposites,28.08,4,2
27,Glory over Everything: Beyond The Kitchen House,45.84,3,2
28,"Love, Lies and Spies",20.55,2,2
29,A Paris Apartment,39.01,4,2
30,Lilac Girls,17.28,2,2
31,The Constant Princess (The Tudor Court #1),16.62,3,2
32,The Invention of Wings,37.34,1,2
33,World Without End (The Pillars of the Earth #2),32.97,4,2
34,The Passion of Dolssa,28.32,5,2
35,Girl With a Pearl Earring,26.77,1,2
36,Voyager (Outlander #3),21.07,5,2
37,The Red Tent,35.66,5,2
38,The Last Painting of Sara de Vos,55.55,2,2
39,The Guernsey Literary and Potato Peel Pie Society,49.53,1,2
40,Girl in the Blue Coat,46.83,2,2
41,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,3
42,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,3
43,This One Summer,19.49,4,3
44,The Nameless City (The Nameless City #1),38.16,4,3
45,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,3
46,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,3
47,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,3
48,"Pop Gun War, Volume 1: Gift",18.97,1,3
49,Patience,10.16,3,3
50,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,3
51,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,3
52,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,3
53,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,3
54,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,3
55,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,3
56,I am a Hero Omnibus Volume 1,54.63,3,3
57,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,3
58,Danganronpa Volume 1,51.99,4,3
59,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,3
60,Camp Midnight,17.08,4,3
61,The Secret Garden,15.08,4,4
62,The Metamorphosis,28.58,1,4
63,The Pilgrim's Progress,50.26,2,4
64,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2,4
65,Little Women (Little Women #1),28.07,4,4
66,Gone with the Wind,32.49,3,4
67,Candide,58.63,3,4
68,Animal Farm,57.22,3,4
69,Wuthering Heights,17.73,3,4
70,The Picture of Dorian Gray,29.7,2,4
71,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,4
72,Beowulf,38.35,2,4
73,And Then There Were None,35.01,2,4
74,The Story of Hong Gildong,43.19,4,4
75,The Little Prince,45.42,2,4
76,Sense and Sensibility,37.46,1,4
77,Of Mice and Men,47.11,2,4
78,Emma,32.93,2,4
79,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1,4
80,Sophie's World,15.94,5,5
81,The Death of Humanity: and the Case for Life,58.11,4,5
82,The Stranger,17.44,4,5
83,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1,5
84,Kierkegaard: A Christian Missionary to Christians,47.13,1,5
85,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5,5
86,Critique of Pure Reason,20.75,1,5
87,"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1,5
88,The Nicomachean Ethics,36.34,1,5
89,Meditations,25.89,2,5
90,Beyond Good and Evil,43.38,1,5
91,Chase Me (Paris Nights #2),25.27,5,6
92,Black Dust,34.53,5,6
93,Her Backup Boyfriend (The Sorensen Family #1),33.97,1,6
