Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Day of Month,Confirmation - Weekday (Mo = 1),Confirmation - Time,Arrival at Pickup - Day of Month,Arrival at Pickup - Weekday (Mo = 1),Arrival at Pickup - Time,Pickup - Day of Month,Pickup - Weekday (Mo = 1),Pickup - Time,Arrival at Destination - Day of Month,Arrival at Destination - Weekday (Mo = 1),Arrival at Destination - Time,Distance (KM),Temperature,Precipitation in millimeters,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id,Time from Pickup to Arrival
Order_No_4211,User_Id_633,Bike,3,Business,9,5,9:35:46 AM,9,5,9:40:10 AM,9,5,10:04:47 AM,9,5,10:27:30 AM,9,5,10:39:55 AM,4,20.4,,-1.3177547,36.8303703,-1.3004062,36.829741,Rider_Id_432,745
Order_No_25375,User_Id_2285,Bike,3,Personal,12,5,11:16:16 AM,12,5,11:23:21 AM,12,5,11:40:22 AM,12,5,11:44:09 AM,12,5,12:17:22 PM,16,26.4,,-1.3514530,36.899315,-1.2950041,36.8143583,Rider_Id_856,1993
Order_No_1899,User_Id_265,Bike,3,Business,30,2,12:39:25 PM,30,2,12:42:44 PM,30,2,12:49:34 PM,30,2,12:53:03 PM,30,2,1:00:38 PM,3,,,-1.3082842,36.8434194,-1.3009210,36.828195,Rider_Id_155,455
Order_No_9336,User_Id_1402,Bike,3,Business,15,5,9:25:34 AM,15,5,9:26:05 AM,15,5,9:37:56 AM,15,5,9:43:06 AM,15,5,10:05:27 AM,9,19.2,,-1.2813012,36.8323962,-1.2571472,36.7950633,Rider_Id_855,1341
Order_No_27883,User_Id_1737,Bike,1,Personal,13,1,9:55:18 AM,13,1,9:56:18 AM,13,1,10:03:53 AM,13,1,10:05:23 AM,13,1,10:25:37 AM,9,15.4,,-1.2665974,36.7921181,-1.2950408,36.8098172,Rider_Id_770,1214
Order_No_7408,User_Id_1342,Bike,3,Business,14,5,3:07:35 PM,14,5,3:08:57 PM,14,5,3:21:36 PM,14,5,3:30:30 PM,14,5,4:23:41 PM,9,27.2,,-1.3025826,36.7670807,-1.2573090,36.8060084,Rider_Id_124,3191
Order_No_22680,User_Id_2803,Bike,3,Business,9,5,9:33:45 AM,9,5,9:49:47 AM,9,5,9:53:12 AM,9,5,9:56:45 AM,9,5,10:19:45 AM,5,20.3,,-1.2793950,36.825364,-1.2765736,36.8513646,Rider_Id_114,1380
Order_No_21578,User_Id_1075,Bike,3,Business,11,1,2:13:01 PM,11,1,2:14:13 PM,11,1,2:21:33 PM,11,1,2:22:40 PM,11,1,2:33:26 PM,3,28.7,,-1.2527958,36.8003131,-1.2551895,36.7822034,Rider_Id_913,646
Order_No_5234,User_Id_733,Bike,3,Business,30,2,11:10:44 AM,30,2,11:15:49 AM,30,2,12:13:18 PM,30,2,12:22:57 PM,30,2,1:19:35 PM,9,,,-1.2551895,36.7822034,-1.3002554,36.8256566,Rider_Id_394,3398
Order_No_1768,User_Id_2112,Bike,3,Business,23,5,4:48:54 PM,23,5,5:17:56 PM,23,5,5:32:41 PM,23,5,5:34:38 PM,23,5,6:31:57 PM,14,24.6,,-1.2253220,36.80855,-1.2156006,36.8916865,Rider_Id_660,3439
