Date ordered,Order number,Brand,Size,Color,Design,Price,Delivery status
2016-05-05,SDH-YU0,Yolo,L,red,spiral,14.47,damaged
2016-05-06,SDH-YU1,Yolo,XXL,green,spiral,16.24,delayed
2016-05-07,SDH-YU2,BLOT,XL,black,Stripes,14.32,delivered
2016-05-08,SDH-YU3,Kent,XXL,green,plain,14.07,damaged
2016-05-09,SDH-YU4,BUCK,XL,white,spiral,15.56,order received
2016-05-10,SDH-YU5,BUCK,S,black,Stripes,15.38,delivered
2016-05-11,SDH-YU6,BUCK,XS,red,diamond,14.43,delivered
2016-05-12,SDH-YU7,Kent,S,white,checked,16.72,delivered
2016-05-13,SDH-YU8,Kent,M,green,spiral,16.7,damaged
2016-05-14,SDH-YU9,Wang,XL,purple,spiral,15.48,delayed
2016-05-15,SDH-YU10,Yolo,XS,green,plain,14.36,shipping
2016-05-16,SDH-YU11,BUCK,M,purple,diamond,14.56,order received
2016-05-17,SDH-YU12,Yolo,L,white,spiral,14.89,delayed
2016-05-18,SDH-YU13,Yolo,L,green,diamond,12.73,damaged
2016-05-19,SDH-YU14,Wang,M,white,checked,14.99,shipping
2016-05-20,SDH-YU15,Wang,XXL,red,plain,15.21,damaged
2016-05-21,SDH-YU16,BLOT,XS,green,diamond,15.44,shipping
2016-05-22,SDH-YU17,Wang,L,purple,checked,15.57,delayed
2016-05-23,SDH-YU18,Wang,XS,green,checked,15.35,shipping
2016-05-24,SDH-YU19,Yolo,XXL,red,spiral,15.59,delivered
2016-05-25,SDH-YU20,BLOT,XL,white,Stripes,14.47,delayed
2016-05-26,SDH-YU21,Wang,XS,purple,spiral,13.18,delivered
2016-05-27,SDH-YU22,BLOT,XL,white,diamond,13.22,order received
2016-05-28,SDH-YU23,Kent,S,purple,Stripes,16.03,order received
2016-05-29,SDH-YU24,Yolo,XL,indigo,checked,14.12,shipping
2016-05-30,SDH-YU25,Wang,XXL,green,plain,13.98,order received
2016-05-31,SDH-YU26,Yolo,XL,indigo,Stripes,14.85,shipping
2016-06-01,SDH-YU27,BLOT,M,purple,checked,15.28,delayed
2016-06-02,SDH-YU28,Kent,XS,indigo,Stripes,15.43,damaged
2016-06-03,SDH-YU29,BUCK,S,indigo,diamond,14.64,damaged
2016-06-04,SDH-YU30,Wang,S,white,checked,14.84,shipping
2016-06-05,SDH-YU31,Kent,M,indigo,spiral,15.86,shipping
2016-06-06,SDH-YU32,Yolo,XS,black,plain,15.35,shipping
2016-06-07,SDH-YU33,Kent,XS,black,diamond,13.71,shipping
2016-06-08,SDH-YU34,BUCK,XL,green,Stripes,13.24,delivered
2016-06-09,SDH-YU35,Wang,M,black,checked,14.76,shipping
2016-06-10,SDH-YU36,BUCK,S,purple,plain,14.32,damaged
2016-06-11,SDH-YU37,Kent,S,red,Stripes,13.84,shipping
2016-06-12,SDH-YU38,Yolo,M,black,diamond,15.95,shipping
2016-06-13,SDH-YU39,BUCK,M,green,checked,14.57,delivered
2016-06-14,SDH-YU40,Kent,XS,indigo,diamond,13.629999999999999,shipping
2016-06-15,SDH-YU41,BLOT,L,white,diamond,14.36,delayed
2016-06-16,SDH-YU42,Wang,S,purple,diamond,15.1,damaged
2016-06-17,SDH-YU43,Wang,S,green,spiral,14.26,damaged
2016-06-18,SDH-YU44,Wang,M,black,diamond,15.47,order received
2016-06-19,SDH-YU45,Yolo,M,green,Stripes,13.48,delayed
2016-06-20,SDH-YU46,BLOT,L,green,plain,14.27,delayed
2016-06-21,SDH-YU47,BUCK,M,green,checked,15.53,delayed
2016-06-22,SDH-YU48,Yolo,XXL,white,diamond,15.5,order received
2016-06-23,SDH-YU49,Kent,M,black,diamond,13.77,delivered
2016-06-24,SDH-YU50,Yolo,XS,white,Stripes,16.29,damaged
2016-06-25,SDH-YU51,BLOT,XXL,indigo,checked,14.2,shipping
2016-06-26,SDH-YU52,BLOT,XXL,indigo,checked,14.6,shipping
2016-06-27,SDH-YU53,Wang,M,black,checked,13.379999999999999,delayed
2016-06-28,SDH-YU54,Kent,XXL,indigo,diamond,15.58,order received
2016-06-29,SDH-YU55,Kent,XXL,black,spiral,15.23,damaged
2016-06-30,SDH-YU56,Wang,XS,purple,Stripes,13.97,order received
2016-07-01,SDH-YU57,Wang,XXL,red,Stripes,14.6,delayed
2016-07-02,SDH-YU58,BLOT,XS,purple,spiral,15.37,damaged
2016-07-03,SDH-YU59,BLOT,XL,black,plain,14.52,delivered
2016-07-04,SDH-YU60,Yolo,XS,white,diamond,17.9,order received
2016-07-05,SDH-YU61,Yolo,S,green,diamond,15.09,shipping
2016-07-06,SDH-YU62,Kent,L,black,spiral,16.08,order received
2016-07-07,SDH-YU63,BUCK,S,green,checked,15.7,delivered
2016-07-08,SDH-YU64,Wang,XS,indigo,checked,14.43,delivered
2016-07-09,SDH-YU65,Wang,XS,purple,spiral,13.34,order received
2016-07-10,SDH-YU66,Yolo,M,black,Stripes,15.31,order received
2016-07-11,SDH-YU67,Kent,S,purple,plain,16.06,damaged
2016-07-12,SDH-YU68,BLOT,S,white,plain,14.2,delayed
2016-07-13,SDH-YU69,BUCK,M,red,spiral,14.16,delivered
2016-07-14,SDH-YU70,Yolo,S,white,plain,15.5,damaged
2016-07-15,SDH-YU71,BLOT,XXL,purple,Stripes,14.09,shipping
